12,38,57
19,13,23
76,32,73
67,85,65
15,71,73
16,75,78
20,82,45
12,38,57
43,18,32
45,20,71
39,57,23
13,92,76
52,60,52
48,12,48
52,60,52
17,82,91
12,38,57
12,38,57
82,29,65
14,86,14
89,11,39
29,87,95
57,17,72
68,56,45
14,40,34
14,40,34
73,46,31
56,52,54
45,13,47
70,99,74
93,37,79
77,54,25
75,11,59
18,81,61
13,29,39
77,90,69
35,34,87
29,87,95
12,38,57
75,11,59
48,97,45
48,12,48
64,59,69
19,43,84
34,25,52
12,38,57
94,20,60
18,28,32
65,70,39
75,11,59
89,11,39
53,34,78
91,16,31
67,59,68
57,93,77
48,12,48
12,38,57
49,65,23
79,41,38
48,18,65
13,92,76
37,29,88
87,77,32
44,52,63
24,14,51
14,86,14
87,77,32
47,80,87
95,81,61
25,70,84
59,65,89
38,99,78
12,38,57
19,96,95
18,38,76
35,33,94
16,45,44
12,38,57
75,11,59
69,97,96
20,54,54
21,46,64
99,28,96
75,80,37
71,30,14
86,51,23
66,73,16
64,97,69
38,41,93
44,17,40
12,38,57
12,38,57
61,63,81
42,63,89
19,25,94
50,33,72
76,32,73
48,97,45
14,19,46
63,16,49
86,51,23
13,92,76
15,12,61
70,99,74
63,16,49
24,14,51
12,38,57
33,37,22
52,16,28
50,99,67
21,46,64
13,29,39
73,92,61
16,76,17
14,86,14
98,97,16
70,17,35
77,90,69
77,54,25
12,38,57
61,79,85
21,46,64
15,30,56
77,90,69
36,55,65
70,99,74
85,26,36
93,37,79
34,45,76
31,42,57
45,13,47
39,55,57
85,81,37
12,38,57
90,72,98
79,51,60
96,98,95
76,78,45
70,17,60
35,34,87
48,12,48
48,12,48
75,11,59
16,76,17
90,67,54
95,72,46
80,94,20
70,80,67
75,48,39
67,26,18
79,41,38
69,77,25
87,20,69
49,33,23
63,16,49
14,86,14
85,81,37
27,65,38
90,67,54
85,45,40
14,86,14
24,14,51
61,63,81
13,27,75
21,46,64
19,67,28
20,82,45
66,54,21
50,31,22
13,83,12
49,33,23
29,88,68
82,42,14
78,69,16
12,38,57
99,61,66
53,34,78
64,97,69
64,59,69
12,38,57
68,92,35
48,12,48
85,26,36
85,36,55
35,34,87
38,99,78
96,98,95
55,74,53
47,15,43
64,36,75
90,72,98
12,38,57
45,13,47
67,71,62
19,67,28
76,42,25
88,12,67
31,39,38
76,42,25
14,19,46
66,73,16
66,54,21
48,12,48
73,31,44
26,43,64
20,54,54
26,37,91
98,20,23
48,97,45
18,28,32
31,74,69
98,67,37
59,26,55
75,11,59
74,80,66
87,77,32
47,35,65
76,78,45
49,65,23
96,89,95
80,94,20
15,12,61
79,19,33
59,33,64
49,33,23
37,63,67
98,97,16
73,49,87
44,45,47
48,12,48
68,56,45
31,42,57
42,11,55
15,30,56
48,12,48
12,38,57
79,51,60
81,74,71
75,69,94
53,39,24
42,78,83
42,11,55
29,87,95
88,50,22
61,11,64
12,38,57
33,37,22
38,99,78
59,65,89
74,80,66
12,38,57
29,91,61
90,72,98
87,50,37
18,60,66
30,77,54
12,38,57
13,92,76
49,33,23
40,81,52
24,14,51
45,30,20
50,99,67
69,71,49
12,38,57
53,34,78
79,79,87
95,81,61
50,31,22
29,87,95
94,75,50
