44,0
55,30
46,36
96,27
3,34
13,26
18,4
58,97
85,39
44,73
17,56
94,95
9,75
43,16
74,24
44,94
88,76
1,44
39,12
71,41
66,76
41,17
21,9
95,41
42,98
24,92
0,53
4,14
1,24
3,43
25,79
95,39
2,90
30,72
94,79
86,91
50,0
92,59
77,36
77,11
2,88
10,62
34,67
27,13
54,8
80,40
55,39
38,25
42,99
36,35
96,25
42,80
38,31
11,25
99,8
50,87
25,29
68,67
17,14
52,47
4,76
72,90
32,78
37,74
42,15
55,28
17,60
93,16
67,22
26,41
51,4
73,99
87,27
45,84
12,66
70,4
92,3
59,34
93,100
0,56
37,4
70,6
91,99
9,3
96,78
41,87
89,43
78,83
85,58
44,75
76,70
89,86
81,71
27,69
17,62
42,61
83,23
7,93
46,59
92,41
